word,type,translation
enemmistö,all,majority
enemmistöhallitus,all,majority government
enemmistökansallisuus,all,majority
enemmistöläinen,all,majority
enemmistöperiaate,all,majority
enemmistöpäätös,all,majority decision
enemmistövaali,all,majority
enemmistövalta,all,majority rule
enemmyys,all,more
enemmälti,all,more
enemmän,all,more
enempi,all,further
enempää,all,any more
enenevä,all,increasing
enenevästi,all,imbue
enennys,all,expansion
enentyä,all,have an increase
enentää,all,enlist
energia,all,energy
energiahuolto,all,energy supply
energiahäviö,all,energy loss
energiakriisi,all,energy crisis
energialaji,all,energy type
energialähde,all,energy source
energiametsä,all,energy forest
energianhukka,all,energetic
energianhäviö,all,energy loss
energiankulutus,all,energy consumption
energianlähde,all,source of energy
energiansiirto,all,energy transfer
energiansäästö,all,energy saving
energiansäästölamppu,wiki,energy-saving lamp
energiantarve,all,energy demand
energiantuotanto,all,energy production
energiapakkaus,all,energy pack
energiapitoinen,all,energy-based
energiapitoisuus,all,energy content
energiapolitiikka,all,energy policy
energiapula,all,energy shortage
energiapuu,all,energy tree
energiasisältö,all,energy content
energiataloudellinen,all,energy-efficient
energiatalous,all,energy economy
energiataso,all,energy level
energiatila,all,energy space
energiatuotanto,all,energy production
energiavarasto,all,energy storage
energinen,all,energetic
energisesti,all,energetically
energisyys,all,energetic
enetä,all,to increase
engelmanninkuusi,wiki,Engelmanninnin
englannin kieli,all,English language
englanninenglanti,wiki,British
englanninkielinen,all,English-speaking
englanninnos,all,English
englanninraiheinä,wiki,English
englanninsetteri,all,English
englannintaa,all,English
englannintorvi,all,cor anglais
englanninvinttikoira,all,English Greyhound
englanti,all,English
englantilainen,all,English
englantilaisuus,all,Anglicism
engrammi,all,engraving
enharmoninen,wiki,enharmonic
enimmiten,all,mostly
enimmäisaika,all,maximum time
enimmäisarvo,all,maximum
enimmäishinta,all,maximum price
enimmäismäärä,all,maximum
enimmäisnopeus,all,maximum speed
enimmäispaino,all,Maximum weight
enimmäisraja,all,maximum limit
enimmäisteho,all,maximum power
enimmäistää,all,to maximize
enimmäkseen,all,mostly
enimmälti,all,mostly
enimmältään,all,mostly
enimmän,all,most of
enin,all,most
enintään,all,at the maximum
eniten,all,the most
enkefaliitti,wiki,encephalitis
enkefalografia,wiki,encephalography
enkeli,all,angel
enkelikuoro,all,angel
enkelimäinen,wiki,angelic
enkelinkiharat,all,angel
enkelinsiipi,wiki,Wing of an angel
enkeliska,wiki,angelic
enklaavi,wiki,enclave
enkopreesi,wiki,encaprees
ennakko,all,advance
ennakko-,all,fore
ennakkoaavistus,all,premonition
ennakkoarvelu,all,pre -tortoise
ennakkoarvio,all,estimate
ennakkoasenne,all,bias
ennakkoehkäisy,all,pre -contraception
ennakkoesitys,all,preview
ennakkoilmoittautuminen,all,pre -registration
ennakkoilmoitus,all,prior notification
ennakkokorko,all,preliminary interest
ennakkokäsitys,all,preconceived idea
ennakkolaskelma,all,pre-statement
ennakkoluulo,all,prejudice
ennakkoluuloinen,all,prejudiced
ennakkoluuloisesti,all,prejudice
ennakkoluuloisuus,all,prejudice
ennakkoluuloton,all,candid
ennakkoluulottomasti,all,prejudicedly
ennakkoluulottomuus,all,liberality
ennakkomaine,all,advance
ennakkomainonta,all,advance publicity
ennakkomainostus,all,advance publicity
ennakkomaksu,all,advance
ennakkomerkintä,all,pre -entry
ennakkomyynti,all,pre -sale
ennakkoon,all,in advance
ennakkoperintä,all,paye
ennakkoperintö,all,advance
ennakkopiste,all,advance
ennakkopäätelmä,all,preliminary statement
ennakkopäätös,all,precedent
ennakkosensuuri,all,pre -censorship
ennakkosuoritus,all,advancement
ennakkosuosikki,all,favorite
ennakkosäästäminen,all,advance savings
ennakkotapaus,all,precedent
ennakkotarkastus,all,censorship
ennakkotieto,all,foreknowledge
ennakkotilaaja,all,pre -subscriber
ennakkotilaus,all,pre-order
ennakkotoimi,all,pre -action
ennakkotorjunta,all,pre -control
ennakkouutinen,all,advance
ennakkovaraus,all,advance booking
ennakkovero,all,advance tax
ennakkoverolippu,all,pre -tax ticket
ennakkoäänestys,all,early voting
ennakkoäänestäjä,all,advance
ennakkoääni,all,advance voting
ennakoida,all,to anticipate
ennakoimaton,all,to anticipate
ennakointi,all,anticipation
ennakolta,all,pre-
ennakonkanto,all,advance payment of taxes
ennakonpidätys,all,withholding tax
ennakonpidätystodistus,all,retention certificate
ennallaan,all,unchanged
ennalleen,all,restoration
ennallistaa,all,to reconstruct
ennallistava,wiki,reconstruct
ennallistus,all,restoration
ennalta,all,in advance
ennalta ehkäisevä,all,prophylactic
ennaltaehkäisevä,wiki,preventive
ennaltaehkäisy,all,prevention
enne,all,omen
ennemmin,all,first
ennen,all,before
ennen aikaan,all,formerly
ennen kaikkea,all,first and foremost
ennen kuin,all,prior to
ennen pitkää,all,before long
ennenaikainen,all,premature
ennenaikaisesti,all,prematurely
ennenkuulumaton,all,unheard-of
ennenkuulumattomasti,all,unprecedentedly
ennennäkemättömästi,all,unprecedented
ennennäkemätön,all,unparalleled
ennestään,all,already
ennus,wiki,forecasts
ennusmerkki,all,augury
ennustaa,all,to forecast
ennustaja,all,prophet
ennustajaeukko,all,fortune teller teller
ennustamaton,wiki,olettaa
ennustavuus,all,prediction
ennuste,all,prognosis
ennusteellinen,all,prognostic
ennustella,all,to predict
ennustettavuus,wiki,predictability
ennustus,all,prediction
ennättää,all,to arrive in time
ennätyksellinen,all,record
ennätyksellisesti,all,in record record
ennätyksellisyys,all,record
ennätys,all,record
ennätysaika,all,record time
ennätysjuoksu,all,record
ennätyskorkeus,all,record height
ennätysmies,all,record
ennätysmäinen,all,unprecedented
ennätysmäisesti,all,recordly
ennätysmäärä,all,A record number of
ennätysnainen,all,record
ennätysnopeus,all,record speed
ennätyssato,all,record
ennätystulos,all,record
eno,all,uncle
enoli,wiki,enol
enologi,wiki,Enologist
enologia,wiki,Enology
enontekiöläinen,wiki,Enontekiö
ensemble,all,ensemble
ensi,all,primary
ensi-ilta,all,opening night
ensiapu,all,first aid
ensiapukurssi,all,first aid course
ensiapulaukku,all,first aid kit
ensiarvoinen,all,vital
ensiarvoisuus,all,paramount
ensiasunto,all,starter home
ensiesiintyminen,all,debut
ensiesiintymä,all,premiere
ensiesittää,all,to premiere
ensiesitys,all,premiere
ensihoitaja,all,paramedic
ensihoito,all,first aid
ensikertainen,all,first-time
ensikertalainen,all,aloittelija
ensikesäinen,all,first summer
ensikonsertti,all,first concert
ensikoti,all,first home
ensiksi,all,first
ensikäyttö,all,first use
ensilumi,all,first snow
ensiluokkainen,all,first-class
ensiluokkaisesti,all,first -class
ensiluokkaisuus,all,first -class
ensiluokkalainen,all,first-form pupil
ensimmäinen,all,first
ensimmäiseksi,all,first
ensimmältä,all,first
ensin,all,first
ensin mainittu,all,former
ensinkään,all,at all
ensinnä,all,first of all
ensioire,all,first symptom
ensipainos,all,first edition
ensipäivänkuori,all,first-day cover
ensipäivänleima,all,first -day stamp
ensirakastaja,all,first lovers
ensirakkaus,all,first love
ensisijainen,all,primary
ensisijaisesti,all,in the first instance
ensisijaistaa,all,to prioritize
ensisijaisuus,all,priority
ensisunnuntainen,all,Sunday
ensisuoja,all,first protection
ensisynnyttäjä,all,firstborn
ensitalvinen,all,first -winter
ensitanssija,all,first dancer
ensitanssijatar,all,premierer
ensivaikutelma,all,first impressions
ensivierailu,all,first place
ensiviulu,all,first place
ensiökäämi,all,primary winding
ensyklika,wiki,encyclical
ensyklopedia,all,encyclopedia
ensyklopedisti,wiki,encyclopedist
entalpia,wiki,enthalpy
enteellinen,all,prophetic
enteellisesti,all,enthusiastically
enteellisyys,all,enthusiasm
enteillä,all,to foreshadow
enteily,all,entry
enter,wiki,liittyä
enterokokki,wiki,enterococcal
entinen,all,former
entisaika,all,the old
entisaikainen,all,pastime
entiselleen,all,back to normality
entisellään,all,unaltered
entisenlainen,all,formerly
entisensä,all,the same as before
entisestään,all,further
entistys,all,replication
entistää,all,to restore
entisyys,all,antecedents
entisöidä,all,to restore
entiteetti,all,entity
entomofobia,wiki,Entomophobia
entomologia,wiki,Entomology
entrata,all,change
entraus,all,boarding
entropia,all,entropy
entsyymi,all,enzyme
entusiasmi,all,entity
entusiasti,all,enthusiasm
entusiastinen,all,enthusiastic
entuudestaan,all,before hand
entä,all,what about
entäpä,all,what about the
entäpäs,all,How about
entäs,all,how about
enää,all,more
epatto,wiki,epato
epeli,all,Epeli
epideeminen,all,epidemic
epidemia,all,epidemic
epidemiologi,all,epidemiologists
epidemiologia,all,epidemiology
epidemiologinen,all,epidemiological
epidemiologisesti,all,epidemiologically
epidermi,all,epidermis
epiduraalipuudutus,all,epidural
epifyytti,wiki,epiphyte
epiglottiitti,wiki,epiglottitite
epigrammi,all,epigram
epiikka,all,epics
epikriisi,all,epic crisis
epikurolainen,all,Epicurean
epikurolaisuus,all,epicurism
epilepsia,all,epilepsy
epilepsiakohtaus,all,epilepsy
epileptikko,all,epileptic
epileptinen,all,epileptic
epilogi,all,epilogue
epinefriini,wiki,epinefrin
episentrumi,wiki,epicenter
episiotomia,wiki,episiotomy
episkopaalinen,all,episcopal
episodi,all,episode
epistemologia,wiki,epistemology
epistola,all,missive
epistolateksti,all,epistical text
epiteeli,all,epithelium
epiteelikudos,all,epithelial tissue
epiteetti,all,epithet
epoksiliima,all,epoxy
epoksimaali,all,epoxy paint
epoksimuovi,all,epoxy
epoletti,all,epaulet
epookki,all,epic
epuu,all,wicked
epuuttaa,all,render
epä-,all,non-
epäaidosti,all,inadvertently
epäaito,all,false
epäaitous,all,misery
epäaktiivinen,all,inactive
epäaktiivisuus,all,inactivity
epäasiallinen,all,inappropriate
epäasiallisesti,all,inappropriately
epäasiallisuus,all,inappropriateness
epäasianmukainen,wiki,inappropriate
epädemokraattinen,all,undemocratic
epädemokraattisesti,all,undemocratically
epädemokraattisuus,all,undemocraticism
epäedullinen,all,unfavorable
epäedullisesti,all,disadvantageously
epäedullisuus,all,disadvantage
epäesteettinen,all,unevenly
epäesteettisesti,all,ineestically
epäesteettisyys,all,inesion
epäeuklidinen,all,non -euchlide
epähavainnollinen,all,inhabitant
epähavainnollisesti,all,inhabitant
epähavainnollisuus,all,inconsistency
epähedelmä,all,ferthered
epähenkilö,all,non-person
epäherkkyys,all,insensitivity
epäherkkä,all,insensitive
epähieno,all,inconsiderate
epähienosti,all,inexplicably
epähienous,all,refinement
epähistoriallinen,all,inherent
epähistoriallisesti,all,inexplicably
epähistoriallisuus,all,historical
epähuomiossa,all,inadvertently
epähygieeninen,all,insanitary
epähygieenisesti,all,unhygienically
epähygieenisyys,all,unhygiene
epäilemättä,all,undoubtedly
epäilevyys,all,suspiciousness
epäilevä,all,suspicious
epäileväinen,all,suspicious
epäileväisyys,all,suspiciousness
epäilevästi,all,doubtfully
epäilijä,all,skeptic
epäillä,all,to suspect
epäiltävä,all,suspected
epäily,all,doubt
epäilyksenalainen,all,suspicion
epäilys,all,suspicion
epäilyttävyys,all,suspiciousness
epäilyttävä,all,suspicious
epäilyttävästi,all,suspiciously
epäilyttää,all,dubious
epäinhimillinen,all,inhuman
epäinhimillisesti,all,inhuman
epäinhimillisyys,all,humanity
epäisänmaallinen,all,unspoken
epäitsekkyys,all,altruism
epäitsekkäästi,all,selflessly
epäitsekäs,all,selfless
epäitsenäinen,all,clinging
epäitsenäisesti,all,independently
epäitsenäisyys,all,independence
epäjalo,all,base
epäjatkuva,all,discontinuous
epäjatkuvuus,all,discontinuity
epäjohdonmukainen,all,inconsistent
epäjohdonmukaisesti,all,inconsistently
epäjohdonmukaisuus,all,inconsistency
epäjumala,all,idol
epäjärjestys,all,disorder
epäkansallinen,all,uncommon
epäkansanvaltainen,all,unmachable
epäkaupallinen,all,non-commercial
epäkelpo,all,unfit
epäkeskinen,all,eccentric
epäkeskisesti,all,eccentric
epäkeskisyys,all,bias
epäkesko,all,eccentric
epäkiitollinen,all,thankless
epäkiitollisesti,all,inexplicably
epäkiitollisuus,all,gratitude
epäkohta,all,grievance
epäkohteliaasti,all,impolitely
epäkohteliaisuus,all,discourtesy
epäkohtelias,all,impolite
epäkriittinen,all,non -critical
epäkriittisesti,all,non -critically
epäkriittisyys,all,non -criticism
epäkristillinen,all,unchristian
epäkristillisesti,all,unch Christian
epäkristillisyys,all,non -Christianity
epäkunnioittava,all,disrespectful
epäkunnioittavasti,all,disrespectful
epäkunnioitus,all,disrespect
epäkunnossa,all,out of order
epäkuntoinen,all,off -road
epäkuntoisuus,all,malfunction
epäkuntoon,all,out of order
epäkurantti,all,defense
epäkypsyys,all,imperfection
epäkypsä,all,immature
epäkypsästi,all,immature
epäkäs,all,unmatched
epäkäslihas,all,unsteady
epäkäytännöllinen,all,impractical
epäkäytännöllisesti,all,impractical
epäkäytännöllisyys,all,impracticality
epälineaarinen,wiki,non-linear
epälojaali,all,disloyal
epälojaalisesti,all,ill -borne
epälojaalisti,all,disloyal
epälooginen,all,illogical
epäloogisesti,all,illogically
epäloogisuus,all,illogicality
epälukuinen,all,unstable
epäluonnollinen,all,distrustful
epäluonnollisesti,all,distrustful
epäluonnollisuus,all,naturalness
epäluotettava,all,unreliable
epäluotettavasti,all,unreliable
epäluotettavuus,all,unreliable
epäluottamus,all,distrust
epäluottamuslause,all,vote of no confidence
epäluulo,all,suspicion
epäluuloinen,all,suspicious
epäluuloisesti,all,suspiciously
epäluuloisuus,all,suspicion
epämetalli,all,non -metal
epämiehekkyys,all,virility
epämiehekkäästi,all,unwisely
epämiehekäs,all,unmanly
epämielekkyys,all,meaningfulness
epämiellyttävyys,all,unpleasantness
epämiellyttävä,all,unpleasant
epämiellyttävästi,all,unpleasantly
epämieluinen,all,undesirable
epämieluisa,all,unattractive
epämieluisasti,all,unpleasant
epämoderni,wiki,non -modern
epämoraalinen,wiki,sinful
epämukava,all,uncomfortable
epämukavuus,all,discomfort
epämuodollinen,all,informal
epämuodollisesti,all,informal
epämuodollisuus,all,informality
epämuodostua,all,deformed
epämuodostuma,all,deformity
epämuotoinen,all,malformed
epämuotoisuus,all,deformity
epämurtoluku,all,inferiority
epämusikaalinen,all,tuneless
epämusikaalisesti,all,tuneless
epämusikaalisuus,all,musicality
epämääräinen,all,vague
epämääräisesti,all,vaguely
epämääräistyä,all,become obscure
epämääräisyys,all,obscurity
epänaisellinen,all,unwomanly
epänaisellisuus,all,femininity
epänegatiivinen,wiki,ablestative
epänormaali,all,abnormal
epänormaalisti,all,abnormally
epänormaalisuus,all,abnormality
epänormaalius,all,abnormality
epäoikeudenmukainen,all,unfair
epäoikeudenmukaisesti,all,wrongly
epäoikeudenmukaisuus,all,injustice
epäoikeutettu,all,unjustifiable
epäoleellinen,all,irrelevant
epäolennainen,all,irrelevant
epäolennaisesti,all,irrelevant
epäolennaisuus,all,disadvantage
epäonni,all,misfortune
epäonninen,wiki,unlucky
epäonnistua,all,to fail
epäonnistuja,all,loser
epäonnistuminen,wiki,failure
epäonnistunut,wiki,unsuccessful
epäorgaaninen,all,inorganic
epäortodoksinen,all,unorthodox
epäortodoksisesti,all,unorthodox
epäperäisyys,all,stern
epäpoliittinen,all,unpolitical
epäpoliittisesti,all,nonpolitical
epäpoliittisuus,all,non -politics
epäpuhdas,all,unclean
epäpuhtaasti,all,out of tune
epäpuhtaus,all,impurity
epäpyhyys,all,osity
epäpyhä,all,unholy
epäpätevyys,all,incompetence
epäpätevä,all,incompetent
epäpätevästi,all,incompetently
epärealistinen,all,unrealistic
epärealistisesti,all,unrealistic
epärealistisuus,all,realism
epärehellinen,all,dishonest
epärehellisesti,all,dishonestly
epärehellisyys,all,dishonesty
epäreilu,all,unfair
epäreilusti,all,unfairly
epäreiluus,all,unfairness
epärelevantti,wiki,moot
epäröidä,all,to hesitate
epäröiminen,wiki,hesitate a
epäröinti,all,hesitation
epäröivä,wiki,hesitant
epäselvyys,all,ambiguity
epäselvä,all,indistinct
epäselvästi,all,unclearly
epäsiisteys,all,uncleanness
epäsiisti,all,messy
epäsikiö,all,abortion
epäsiveellinen,all,obscene
epäsiveellisyys,all,obscenity
epäsointu,all,discord
epäsointuinen,all,jarring
epäsointuisesti,all,jarring
epäsointuisuus,all,discordance
epäsopu,all,discord
epäsosiaalinen,all,antisocial
epäsosiaalisesti,all,antisocial
epäsosiaalisuus,all,Socializing
epäsovinnainen,all,unconventional
epäsovinnaisesti,all,unconventional
epäsovinnaisuus,all,formality
epäsuhde,all,disproportion
epäsuhta,all,disproportion
epäsuhtainen,all,disproportionate
epäsuhtaisesti,all,disproportionately
epäsuhtaisuus,all,inequality
epäsuomalainen,all,indemnity
epäsuomalaisesti,all,inconveniently
epäsuomalaisuus,all,Finnishness
epäsuopea,all,ill-disposed
epäsuopeus,all,benevolence
epäsuora,all,indirect
epäsuorasti,all,indirectly
epäsuoruus,all,indirectness
epäsuosio,all,unpopularity
epäsuosiollinen,all,unfavorable
epäsuosiollisesti,all,unfavorable
epäsuosiollisuus,all,favor
epäsuosittu,wiki,unpopular
epäsuotuisa,all,unfavorable
epäsymmetrinen,all,asymmetric
epäsymmetrisesti,all,asymmetrically
epäsymmetrisyys,all,dissymmetry
epäsäännöllinen,all,irregular
epäsäännöllisesti,all,by fits and starts
epäsäännöllisyys,all,irregularity
epäsäätyinen,all,mischievous
epäsäätyisyys,all,estate
epätahti,all,stroke
epätaiteellinen,all,unequal
epätaiteellisesti,all,unequally
epätaiteellisuus,all,unequality
epätaloudellisuus,all,economy
epätarkasti,all,inaccurate
epätarkka,all,inaccurate
epätarkkuus,all,inaccuracy
epätarkoituksenmukainen,all,impolitic
epätarkoituksenmukaisesti,all,inappropriately
epätarkoituksenmukaisuus,all,inappropriateness
epätasa-arvo,all,inequality
epätasainen,all,uneven
epätasaisesti,all,unevenly
epätasaisuus,all,irregularity
epätasapaino,all,imbalance
epätasapainoinen,wiki,unbalanced
epätavallinen,all,unusual
epätavallisesti,all,unnaturally
epätavallisuus,all,"be usual,"
epätavanomainen,wiki,unconventional
epäterve,all,unhealthy
epäterveellinen,all,unhealthy
epäterveellisesti,all,unhealthy
epäterveellisyys,all,unhealthy
epäterveesti,all,unhealthy
epätieteellinen,all,unscientific
epätieteellisesti,all,unreported
epätieteellisyys,all,unscience
epätietoinen,all,uncertain
epätietoisuus,all,uncertainty
epätodellinen,all,unreal
epätodellisuus,all,unreality
epätodennäköinen,all,unlikely
epätodennäköisesti,all,unlikely
epätodennäköisyys,all,improbability
epätoivo,all,despair
epätoivoinen,all,desperate
epätoivoisesti,all,desperately
epätoivoissaan,all,in despair
epätoivoisuus,all,desperation
epätosi,all,false
epätotuus,wiki,ineptitude
epätyydyttävyys,all,unsatisfactory
epätyydyttävä,all,unsatisfactory
epätyydyttävästi,all,unsatisfactory
epätyypillinen,all,atypical
epätäsmällinen,all,imprecise
epätäsmällisesti,all,indiscreetly
epätäsmällisyys,all,impolite
epätäydellinen,all,incomplete
epätäydellisesti,all,incompletely
epätäydellisyys,all,imperfection
epäurheilijamainen,all,unsportsman
epäurheilijamaisesti,all,unsportsman
epäurheilijamaisuus,all,unsportsmanlike conduct
epäusko,all,unbelief
epäuskoinen,all,unbelieving
epäuskoisesti,all,in disbelief
epäuskoisuus,all,disbelief
epäuskottava,all,unconvincing
epäuskottavasti,all,unbeliefly
epäuskottavuus,all,disability
epäuskovainen,wiki,disbelieving
epävakaa,all,erratic
epävakaasti,all,unstable
epävakainen,all,mutable
epävakaisesti,all,volatile
epävakaisuus,all,instability
epävakaus,all,instability
epävapaa,all,unsteady
epävarma,all,uncertain
epävarmasti,all,insecure
epävarmuus,all,uncertainty
epävieraanvarainen,wiki,inhospitable
epäviihtyisyys,all,uncertainty
epäviihtyisä,all,uncomfortable
epäviihtyisästi,all,uncomfortably
epäviisaasti,all,unavoidably
epäviisas,all,unwise
epävirallinen,all,unofficial
epävirallisesti,all,off-the-record
epävirallisuus,all,informality
epävireeseen,all,in an unavoidable
epävireessä,all,out of tune
epävireinen,all,inconvenience
epävireisesti,all,unavailable
epävireisyys,all,wise
epäyhtenäinen,all,heterogeneous
epäyhtenäisesti,all,unreasonably
epäyhtenäisyys,all,incoherence
epäyhtälö,all,inequality
epäys,all,suspicion
epäystävällinen,all,unfriendly
epäystävällisesti,all,unkindly
epäystävällisyys,all,uncompressed
epäämättömyys,all,non -imprisonment
epäämättömästi,all,unprecedentedly
epäämätön,all,"beyond doubt, however"
erakko,all,hermit
erakkoampiainen,wiki,harmonp
erakkoelämä,all,erase
erakkoluonne,all,solitary soul
erakkorapu,all,era
erakkorastas,wiki,hermit
erakoituminen,wiki,erocation
eranto,all,declination
erauspoika,all,sop
erbium,wiki,Er
erehdys,all,error
erehdyttäminen,wiki,Misrepresentation
erehdyttää,all,to deceive
erehtymättömyys,all,inequality
erehtymätön,all,infallible
erehtyväinen,all,fallible
erehtyväisyys,all,fallibility
erehtyä,all,to err
erektio,all,erection
erektiohäiriö,wiki,erectile dysfunction
eremiitti,wiki,ishemite
ergatiivi,wiki,ergative case
ergi,wiki,Ergi
ergometri,all,ergometer
ergonomia,all,ergonomics
ergonominen,all,ergonomic
ergonomisesti,all,ergonomically
ergonomisuus,all,ergonomics
erhe,all,error
erheellinen,all,erroneous
erheellisesti,all,erroneously
erheellisyys,all,erroneousness
erhetys,wiki,erosion
eri,all,different
eri-,all,different
eriaikainen,all,erratic
eriaikaisesti,all,at different times
eriaikaisuus,all,different times
eriarvoinen,all,unequal
eriarvoistaa,all,discriminates
eriarvoistua,all,to inequality
eriarvoisuus,all,inequality
eriasteinen,all,different degrees of varying degrees
eriasteisesti,all,in varying degrees
erihintainen,all,varying
erikielinen,all,different language
erikoinen,all,special
erikois-,all,special
erikoisala,all,specialty
erikoisasema,all,specialty station
erikoisasiantuntija,wiki,specialist
erikoisauto,all,special car
erikoiseläinlääkäri,all,specialist
erikoisesti,all,specially
erikoishammaslääkäri,all,specialist
erikoishoikka,all,peculiarity
erikoiskerma,all,specialty
erikoiskieli,all,jargon
erikoiskirjasto,wiki,special library
erikoiskoe,all,special
erikoiskoulutus,all,special training
erikoislaatuinen,all,special
erikoislaatuisesti,all,special
erikoislaatuisuus,all,specialty
erikoislahjakas,all,specialty
erikoislahjakkuus,all,special talent
erikoislaina,all,special loan
erikoisliike,all,specialty
erikoislukio,all,specialty
erikoislähettiläs,all,special ambassador
erikoislääkäri,all,specialist
erikoismaininta,all,specialist
erikoismies,all,specialist
erikoisosaaminen,all,special skills
erikoispikajuna,all,special train
erikoispostimerkki,all,special postmark
erikoisrakenteinen,all,specialty
erikoisruokavalio,all,special diet
erikoissairaanhoitaja,all,nurse
erikoissairaanhoito,all,Specialized Medical Care
erikoissuunnittelija,all,special designer
erikoistaa,all,to specialize
erikoistapaus,all,special case
erikoistarjous,all,special offer
erikoistehoste,wiki,Special Effect
erikoistehtävä,all,special task
erikoistilanne,all,special situation
erikoistoimittaja,all,specialist journalist
erikoistua,all,specialize
erikoistumisjakso,all,specialization period
erikoistumislinja,all,specialization
erikoistumisopinnot,all,specialization
erikoistuntija,all,specialist
erikoistuomioistuin,all,specialist
erikoistutkija,all,Senior researcher
erikoisupseeri,all,specialist officer
erikoisuus,all,specialty
erikoisvaatimus,all,special requirement
erikoisvalmisteinen,all,custom-built
erikoisvaltuus,all,specialty
erikokoinen,all,unequal
erikokoisuus,all,uniqueness
erikorkuinen,all,height
erikorkuisuus,all,height
erikseen,all,separately
erilainen,all,different
erilaistaa,all,differentiate
erilaistua,all,to differentiate
erilaisuus,all,diversity
erilleen,all,apart
erillinen,all,separate
erillisjousitus,all,separate suspension
erillisosasto,all,detachment
erillisrauha,all,separate peace
erillisverotus,all,separate tax
erillisyys,all,separation
erillään,all,separately
erilläänolo,all,separate
eriluonteinen,all,differently
eriluonteisuus,all,differentness
erimallinen,all,firm
erimerkityksinen,all,different
erimerkityksisyys,all,diversification
erimerkkinen,all,branded
erimielinen,all,disagree
erimielisesti,all,differently
erimielisyys,all,disagreement
erimunaisuus,all,exfoliator
erimuotoinen,all,different
erimuotoisesti,all,differently
erimuotoisuus,all,difference
eriniminen,all,be renamed
erinimisyys,all,name
erinomainen,all,excellent
erinomaisesti,all,excellent
erinomaisuus,all,excellence
erinykset,wiki,distinction
erinäinen,all,diverse from
erinäköinen,all,look different
erinäköisyys,all,vision
erioikeus,all,franchise
eripainos,all,edition
eriparinen,all,odd
eriparisuus,all,difference
eripituinen,all,different length
eripura,all,dissension
eripurainen,all,discordant
eripuraisesti,all,discordant
eripuraisuus,all,discord
eriseurainen,all,different
eriseuraisuus,all,different
eriskummainen,all,whimsical
eriskummallinen,all,spongy
eriskummallisesti,all,in a strange way
erisnimi,all,proper noun
eriste,all,insulation
eristeinen,all,insulated
eristeisyys,all,insulation
eristekerros,all,insulation
eristin,all,insulator
eristyneisyys,all,seclusion
eristys,all,insulation
eristysaine,all,insulating material
eristyshuone,all,isolation room
eristyshuopa,all,insulation
eristyslaitos,all,insulation
eristysmassa,all,insulation
eristysnauha,all,insulating tape
eristysselli,all,insulation
eristyä,all,become isolated
eristäjä,all,isolator
eristävä,wiki,insulating
eristäytyminen,wiki,isolation
eristäytyä,all,to seclude oneself
eristää,all,to isolate
erisuuntainen,all,different
erisuuntaisesti,all,in different ways
erisuuntaisuus,all,discretion
erisuuruinen,all,unequal
erisuuruisuus,all,inequality
erisuuruus,all,distinctiveness
erisäätyinen,all,uniform
erisäätyisyys,all,disposal
eritasoinen,all,different
eritasoisesti,all,differently
eritasoisuus,all,differentiality
eritasoliittymä,all,interchange
eritasonojapuut,all,uneven bars
eritasoristeys,all,overpass
erite,all,secretion
eritellä,all,to specify
eritelmä,all,specification
eritoten,all,especially
eritrealainen,wiki,Eritrean
erittelijä,all,analyst
erittely,all,breakdown
erittyä,all,excreted
erittäin,all,very
erittäinkin,all,very much
erittää,all,to secrete
erityinen,all,special
erityis-,all,extraordinary
erityisasema,all,special status
erityisesti,all,specially
erityishuolto,all,special care
erityishuoltolaitos,all,special care
erityisjärjestö,all,special organization
erityiskasvatus,all,special education
erityiskorvattava,all,special
erityiskoulu,all,special school
erityislaatuinen,wiki,special
erityisluokka,all,special class
erityismenoarvio,all,EXERCISE
erityisopettaja,all,special teacher
erityisopetus,all,special education
erityispätevyys,all,special qualifications
erityisseikka,all,special
erityissäännös,all,special
erityistapaus,all,special case
eritys,all,secretion
erityylinen,all,different
erityyppinen,all,a different type
erityyppisesti,all,differently
erityyppisyys,all,different type
eritä,all,diverge
eriuskoinen,wiki,dissenter
erivapaus,all,dispensation
erivärinen,all,different color
erivärisyys,all,different colors
eriyttää,all,to differentiate
eriytys,all,segregation
eriytyä,all,to differentiate
eriävä,all,dissenting
eriö,all,specimen
erkaantua,all,to diverge
erkautua,all,dissociate
erkkeri,all,bay window
ero,all,differential
eroahdistus,all,drooping
eroaminen,wiki,resignation
eroamisikä,all,resignation
eroanomus,all,resignation
eroavaisuus,all,difference
eroavuus,all,difference
erogeeninen,all,erogenous
erohakemus,all,resignation
erojaisjuhla,all,resignation
erojaistilaisuus,all,resignation
erokirja,all,division
eronhetki,all,parting of the ways
eronnut,wiki,divorced
eronpyyntö,all,resignation
eroon,all,rid of
eroosio,all,erosion
eroottinen,all,erotic
eroottisesti,all,eroticly
eroottistaa,all,erotic
eroottistua,all,become erotic
eroottisuus,all,eroticism
eroraha,all,severance pay
erosija,all,resignation
erossa,all,away from
erossaolo,all,separation
erota,all,differ
erotella,all,separate
erotiikka,all,eroticism
erotin,all,separator
erotisoida,all,eroticize
erotisointi,all,separation
erotisoitua,all,become erotic
erotodistus,all,distinction
erotomaani,all,erotone
erottaa,all,to distinguish
erottamaton,all,inseparable
erottamattomasti,all,inextricably
erottaminen,wiki,separation
erottautua,all,to isolate oneself
erottava,wiki,discriminating
erottelu,all,separation
erottelukyky,wiki,separation
erottua,all,to separate
